id,name,developer,publisher,region,releaseDate,category,esrb,players,upc,board,sortName,UnitsSold
NES-4F-USA,Flight of the Intruder,Imagineering,Mindscape,NTSC (N. America),1991-05,Action & Adventure,Everyone,1,50047105015,NES-UNROM,FLIGHT OF THE INTRUDER,
NES-5Z-USA,The Flintstones: The Rescue of Dino & Hoppy,Taito/SOL,Taito,NTSC (N. America),1991-12,Action & Adventure,Everyone,1,20588010437,NES-TLROM,FLINTSTONES: THE RESCUE OF DINO & HOPPY,
NES-FT-USA,The Flintstones: Surprise at Dinosaur Peak,Taito/SOL,Taito,NTSC (N. America),1994-08,Action & Adventure,Everyone,1,20588010727,NES-TLROM,FLINTSTONES: SURPRISE AT DINOSAUR PEAK,
NES-HR-USA,Flying Dragon: The Secret Scroll,Culture Brain,Culture Brain,NTSC (N. America),1989-08,Action & Adventure,Everyone,1,47743890024,NES-UNROM,FLYING DRAGON: THE SECRET SCROLL,
NES-6F-USA,Flying Warriors,Culture Brain,Culture Brain,NTSC (N. America),1991-02,Action & Adventure,Everyone,1,47743900068,NES-SKEPROM,FLYING WARRIORS,
UNR-12-USA,Formula 1 Sensation,Konami,Unreleased,NTSC (N. America),N/A,Racing,N/A,N/A,N/A,N/A,FORMULA 1 SENSATION,
NES-W5-USA,Formula One: Built to Win,Winkysoft,SETA,NTSC (N. America),1990-11,Racing,Everyone,1,92826900015,NES-SKROM,FORMULA ONE: BUILT TO WIN,
NES-5P-USA,Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,Equilibrium,THQ,NTSC (N. America),1991-01,Action & Adventure,Everyone,1,7.20E+11,NES-SFROM,FOX'S PETER PAN AND THE PIRATES: THE REVENGE OF CAPTAIN HOOK,
NES-2F-USA,Frankenstein: The Monster Returns,TOSE,Bandai,NTSC (N. America),1991-07,Action & Adventure,Everyone,1,45557072506,NES-SLRROM,FRANKENSTEIN: THE MONSTER RETURNS,
NES-FE-USA,Freedom Force,Sunsoft,Sunsoft,NTSC (N. America),1988-04,Strategy,Everyone,1,91199004863,NES-SLROM,FREEDOM FORCE,
NES-F3-USA,Friday the 13th,Atlus,LJN,NTSC (N. America),1989-02,Action & Adventure,Everyone,1,23582051628,NES-CNROM,FRIDAY THE 13TH,
NES-FS-USA,Fun House,Realtime Associates,Hi Tech Expressions,NTSC (N. America),1991-01,Action & Adventure,Everyone,1,87855000317,NES-UNROM,FUN HOUSE,
NES-X4-USA,G.I. Joe: A Real American Hero,KID,Taxan,NTSC (N. America),1991-01,Action & Adventure,Everyone,1,1.50E+11,NES-TLROM,G.I. JOE: A REAL AMERICAN HERO,
